sampleID,date,basin,longitude,latitude,Temperature,Salinity,month,season
CB1.1 WC 7 90-04-04,4/4/1990,chesa,-76.081,39.545,7.9,0,4,Spring
CB1.1 WC 7 90-04-18,18/4/1990,chesa,-76.081,39.545,9.4,0,4,Spring
CB1.1 WC 7 90-05-16,16/5/1990,chesa,-76.081,39.545,16.1,0,5,Spring
CB1.1 WC 7 90-05-31,31/5/1990,chesa,-76.081,39.545,17.1,0,5,Spring
CB1.1 WC 7 90-06-13,13/6/1990,chesa,-76.081,39.545,23.07,0,6,Summer
CB1.1 WC 7 90-06-27,27/6/1990,chesa,-76.081,39.545,26.35,0,6,Summer
CB1.1 WC 7 90-07-18,18/7/1990,chesa,-76.081,39.545,23.16,0,7,Summer
CB1.1 WC 7 90-08-01,1/8/1990,chesa,-76.081,39.545,26.5,0,8,Summer
CB1.1 WC 7 90-08-15,15/8/1990,chesa,-76.081,39.545,26.83,0,8,Summer
CB1.1 WC 7 90-08-29,29/8/1990,chesa,-76.081,39.545,24.65,0,8,Summer
CB1.1 WC 7 90-09-12,12/9/1990,chesa,-76.081,39.545,25.85,0,9,Autumn
CB1.1 WC 7 90-09-26,26/9/1990,chesa,-76.081,39.545,20.12,0,9,Autumn
CB1.1 WC 7 90-10-17,17/10/1990,chesa,-76.081,39.545,17.6,0,10,Autumn
CB1.1 WC 7 90-11-13,13/11/1990,chesa,-76.081,39.545,7.68,0,11,Autumn
CB1.1 WC 7 90-12-12,12/12/1990,chesa,-76.081,39.545,4.95,0,12,Winter
CB1.1 WC 7 91-01-09,9/1/1991,chesa,-76.081,39.545,2,0,1,Winter
CB1.1 WC 7 91-02-13,13/2/1991,chesa,-76.081,39.545,3.73,0,2,Winter
CB1.1 WC 7 91-03-14,14/3/1991,chesa,-76.081,39.545,5,0,3,Spring
CB1.1 WC 7 91-04-10,10/4/1991,chesa,-76.081,39.545,13.7,0,4,Spring
CB1.1 WC 7 91-04-24,24/4/1991,chesa,-76.081,39.545,12.3,0,4,Spring
CB1.1 WC 7 91-05-08,8/5/1991,chesa,-76.081,39.545,17.12,0,5,Spring
CB1.1 WC 7 91-05-22,22/5/1991,chesa,-76.081,39.545,22.68,0,5,Spring
CB1.1 WC 7 91-06-06,6/6/1991,chesa,-76.081,39.545,26.28,0,6,Summer
CB1.1 WC 7 91-06-19,19/6/1991,chesa,-76.081,39.545,25.56,0,6,Summer
CB1.1 WC 7 91-07-10,10/7/1991,chesa,-76.081,39.545,27.22,0,7,Summer
CB1.1 WC 7 91-07-24,24/7/1991,chesa,-76.081,39.545,29.04,0,7,Summer
CB1.1 WC 7 91-08-07,7/8/1991,chesa,-76.081,39.545,27.05,0.016666667,8,Summer
CB1.1 WC 7 91-08-22,22/8/1991,chesa,-76.081,39.545,27.02,0,8,Summer
CB1.1 WC 7 91-09-05,5/9/1991,chesa,-76.081,39.545,25.42,0,9,Autumn
CB1.1 WC 7 91-09-18,18/9/1991,chesa,-76.081,39.545,26.66,0,9,Autumn
CB1.1 WC 7 91-10-03,3/10/1991,chesa,-76.081,39.545,20.98,0,10,Autumn
CB1.1 WC 7 91-11-05,5/11/1991,chesa,-76.081,39.545,11.26,0.330000004,11,Autumn
CB1.1 WC 7 91-12-03,3/12/1991,chesa,-76.081,39.545,8.83,0,12,Winter
CB1.1 WC 7 92-01-08,8/1/1992,chesa,-76.081,39.545,4,0,1,Winter
CB1.1 WC 7 92-02-12,12/2/1992,chesa,-76.081,39.545,2.47,0,2,Winter
CB1.1 WC 7 92-03-16,16/3/1992,chesa,-76.081,39.545,4.12,0,3,Spring
CB1.1 WC 7 92-04-16,16/4/1992,chesa,-76.081,39.545,12.2,0,4,Spring
CB1.1 WC 7 92-04-29,29/4/1992,chesa,-76.081,39.545,13.93,0,4,Spring
CB1.1 WC 7 92-05-13,13/5/1992,chesa,-76.081,39.545,16.63,0,5,Spring
CB1.1 WC 7 92-05-28,28/5/1992,chesa,-76.081,39.545,19.77,0,5,Spring
CB1.1 WC 7 92-06-10,10/6/1992,chesa,-76.081,39.545,22.32,0,6,Summer
CB1.1 WC 7 92-06-24,24/6/1992,chesa,-76.081,39.545,23.22,0,6,Summer
CB1.1 WC 7 92-07-08,8/7/1992,chesa,-76.081,39.545,25.55,0,7,Summer
CB1.1 WC 7 92-07-22,22/7/1992,chesa,-76.081,39.545,27.35,0,7,Summer
CB1.1 WC 7 92-08-13,13/8/1992,chesa,-76.081,39.545,25.55,0,8,Summer
CB1.1 WC 7 92-08-26,26/8/1992,chesa,-76.081,39.545,24.9,0,8,Summer
CB1.1 WC 7 92-09-10,10/9/1992,chesa,-76.081,39.545,25.08,0,9,Autumn
CB1.1 WC 7 92-09-29,29/9/1992,chesa,-76.081,39.545,20.7,0,9,Autumn
CB1.1 WC 7 92-10-08,8/10/1992,chesa,-76.081,39.545,16.23,0,10,Autumn
CB1.1 WC 7 92-11-19,19/11/1992,chesa,-76.081,39.545,6.4,0,11,Autumn
CB1.1 WC 7 92-12-09,9/12/1992,chesa,-76.081,39.545,4.4,0,12,Winter
CB1.1 WC 7 93-01-06,6/1/1993,chesa,-76.081,39.545,4.35,0,1,Winter
CB1.1 WC 7 93-02-10,10/2/1993,chesa,-76.081,39.545,1.8,0,2,Winter
CB1.1 WC 7 93-03-11,11/3/1993,chesa,-76.081,39.545,4.05,0,3,Spring
CB1.1 WC 7 93-04-14,14/4/1993,chesa,-76.081,39.545,8.9,0,4,Spring
CB1.1 WC 7 93-04-29,29/4/1993,chesa,-76.081,39.545,11.16,0,4,Spring
CB1.1 WC 7 93-05-12,12/5/1993,chesa,-76.081,39.545,20.92,0,5,Spring
CB1.1 WC 7 93-05-26,26/5/1993,chesa,-76.081,39.545,20.82,0,5,Spring
CB1.1 WC 7 93-06-16,16/6/1993,chesa,-76.081,39.545,24.87,0,6,Summer
CB1.1 WC 7 93-06-30,30/6/1993,chesa,-76.081,39.545,27.55,0,6,Summer
CB1.1 WC 7 93-07-14,14/7/1993,chesa,-76.081,39.545,29.92,0,7,Summer
CB1.1 WC 7 93-07-28,28/7/1993,chesa,-76.081,39.545,28.12,0,7,Summer
CB1.1 WC 7 93-08-11,11/8/1993,chesa,-76.081,39.545,26.98,0,8,Summer
CB1.1 WC 7 93-08-25,25/8/1993,chesa,-76.081,39.545,26.96,0,8,Summer
CB1.1 WC 7 93-09-15,15/9/1993,chesa,-76.081,39.545,25.32,0,9,Autumn
CB1.1 WC 7 93-09-29,29/9/1993,chesa,-76.081,39.545,20.53,0,9,Autumn
CB1.1 WC 7 93-10-14,14/10/1993,chesa,-76.081,39.545,15.44,0,10,Autumn
CB1.1 WC 7 93-11-17,17/11/1993,chesa,-76.081,39.545,9.4,0,11,Autumn
CB1.1 WC 7 93-12-08,8/12/1993,chesa,-76.081,39.545,6.7,0,12,Winter
CB1.1 WC 7 94-01-07,7/1/1994,chesa,-76.081,39.545,0.9,0,1,Winter
CB1.1 WC 7 94-03-09,9/3/1994,chesa,-76.081,39.545,1.5,0,3,Spring
CB1.1 WC 7 94-04-06,6/4/1994,chesa,-76.081,39.545,8.5,0,4,Spring
CB1.1 WC 7 94-04-20,20/4/1994,chesa,-76.081,39.545,12.5,0,4,Spring
CB1.1 WC 7 94-05-04,4/5/1994,chesa,-76.081,39.545,17.2,0,5,Spring
CB1.1 WC 7 94-05-31,31/5/1994,chesa,-76.081,39.545,21.86,0,5,Spring
CB1.1 WC 7 94-06-15,15/6/1994,chesa,-76.081,39.545,26.1,0,6,Summer
CB1.1 WC 7 94-06-29,29/6/1994,chesa,-76.081,39.545,28.03,0,6,Summer
CB1.1 WC 7 94-07-13,13/7/1994,chesa,-76.081,39.545,29.05,0,7,Summer
CB1.1 WC 7 94-07-27,27/7/1994,chesa,-76.081,39.545,28.6,0,7,Summer
CB1.1 WC 7 94-08-17,17/8/1994,chesa,-76.081,39.545,25.8,0,8,Summer
CB1.1 WC 7 94-08-31,31/8/1994,chesa,-76.081,39.545,23.56,0,8,Summer
CB1.1 WC 7 94-09-14,14/9/1994,chesa,-76.081,39.545,22.97,0,9,Autumn
CB1.1 WC 7 94-09-28,28/9/1994,chesa,-76.081,39.545,21.97,0,9,Autumn
CB1.1 WC 7 94-10-13,13/10/1994,chesa,-76.081,39.545,16.22,0,10,Autumn
CB1.1 WC 7 94-11-16,16/11/1994,chesa,-76.081,39.545,13.12,0,11,Autumn
CB1.1 WC 7 94-12-14,14/12/1994,chesa,-76.081,39.545,5.1,0,12,Winter
CB1.1 WC 7 95-01-11,11/1/1995,chesa,-76.081,39.545,2,0,1,Winter
CB1.1 WC 7 95-03-22,22/3/1995,chesa,-76.081,39.545,10.7,0,3,Spring
CB1.1 WC 7 95-04-12,12/4/1995,chesa,-76.081,39.545,11.9,0,4,Spring
CB1.1 WC 7 95-04-26,26/4/1995,chesa,-76.081,39.545,15.12,0,4,Spring
CB1.1 WC 7 95-05-10,10/5/1995,chesa,-76.081,39.545,17.3,0,5,Spring
CB1.1 WC 7 95-05-24,24/5/1995,chesa,-76.081,39.545,21.02,0,5,Spring
CB1.1 WC 7 95-06-07,7/6/1995,chesa,-76.081,39.545,24.16,0,6,Summer
CB1.1 WC 7 95-06-21,21/6/1995,chesa,-76.081,39.545,25.92,0,6,Summer
CB1.1 WC 7 95-07-12,12/7/1995,chesa,-76.081,39.545,26.12,0,7,Summer
CB1.1 WC 7 95-07-26,26/7/1995,chesa,-76.081,39.545,29.64,0,7,Summer
CB1.1 WC 7 95-08-09,9/8/1995,chesa,-76.081,39.545,27.33,0,8,Summer
CB1.1 WC 7 95-08-23,23/8/1995,chesa,-76.081,39.545,28.03,0,8,Summer
CB1.1 WC 7 95-09-07,7/9/1995,chesa,-76.081,39.545,26.18,0,9,Autumn
CB1.1 WC 7 95-09-20,20/9/1995,chesa,-76.081,39.545,22.37,0.061666665,9,Autumn
CB1.1 WC 7 95-10-04,4/10/1995,chesa,-76.081,39.545,20.58,0.151666667,10,Autumn
CB1.1 WC 7 95-11-17,17/11/1995,chesa,-76.081,39.545,5.5,0,11,Autumn
CB1.1 WC 7 95-12-14,14/12/1995,chesa,-76.081,39.545,1.92,0,12,Winter
CB2.2 AP 1 84-08-07,7/8/1984,chesa,-76.175,39.347,27,0,8,Summer
CB2.2 AP 3 84-08-07,7/8/1984,chesa,-76.175,39.347,27,0,8,Summer
CB2.2 AP 1 84-08-30,30/8/1984,chesa,-76.175,39.347,25.73,1.442499965,8,Summer
CB2.2 AP 3 84-08-30,30/8/1984,chesa,-76.175,39.347,25.73,1.442499965,8,Summer
CB2.2 AP 1 84-09-12,12/9/1984,chesa,-76.175,39.347,22.92,3.564000034,9,Autumn
CB2.2 AP 3 84-09-12,12/9/1984,chesa,-76.175,39.347,22.92,3.564000034,9,Autumn
CB2.2 AP 1 84-09-26,26/9/1984,chesa,-76.175,39.347,22.1,5.587500215,9,Autumn
CB2.2 AP 3 84-09-26,26/9/1984,chesa,-76.175,39.347,22.1,5.587500215,9,Autumn
CB2.2 AP 1 84-10-10,10/10/1984,chesa,-76.175,39.347,16.2,5.695000172,10,Autumn
CB2.2 AP 3 84-10-10,10/10/1984,chesa,-76.175,39.347,16.2,5.695000172,10,Autumn
CB2.2 AP 1 84-11-07,7/11/1984,chesa,-76.175,39.347,14.7,5.587143013,11,Autumn
CB2.2 AP 3 84-11-07,7/11/1984,chesa,-76.175,39.347,14.7,5.587143013,11,Autumn
CB2.2 AP 1 84-12-12,12/12/1984,chesa,-76.175,39.347,4.38,2.726000023,12,Winter
CB2.2 AP 3 84-12-12,12/12/1984,chesa,-76.175,39.347,4.38,2.726000023,12,Winter
CB2.2 AP 3 85-03-21,21/3/1985,chesa,-76.175,39.347,6,0.635000005,3,Spring
CB2.2 AP 1 85-04-10,10/4/1985,chesa,-76.175,39.347,8.34,0,4,Spring
CB2.2 AP 3 85-04-10,10/4/1985,chesa,-76.175,39.347,8.34,0,4,Spring
CB2.2 AP 1 85-04-24,24/4/1985,chesa,-76.175,39.347,15.1,2.228888909,4,Spring
CB2.2 AP 3 85-04-24,24/4/1985,chesa,-76.175,39.347,15.1,2.228888909,4,Spring
CB2.2 AP 1 85-05-08,8/5/1985,chesa,-76.175,39.347,17.3,0.914999982,5,Spring
CB2.2 AP 3 85-05-08,8/5/1985,chesa,-76.175,39.347,17.3,0.914999982,5,Spring
CB2.2 AP 1 85-05-22,22/5/1985,chesa,-76.175,39.347,19.73,1.276666661,5,Spring
CB2.2 AP 3 85-05-22,22/5/1985,chesa,-76.175,39.347,19.73,1.276666661,5,Spring
CB2.2 AP 1 85-06-05,5/6/1985,chesa,-76.175,39.347,22.48,1.207999992,6,Summer
CB2.2 AP 3 85-06-05,5/6/1985,chesa,-76.175,39.347,22.48,1.207999992,6,Summer
CB2.2 AP 1 85-06-19,19/6/1985,chesa,-76.175,39.347,22.1,2.005000015,6,Summer
CB2.2 AP 3 85-06-19,19/6/1985,chesa,-76.175,39.347,22.1,2.005000015,6,Summer
CB2.2 AP 1 85-07-10,10/7/1985,chesa,-76.175,39.347,25.26,3.431428535,7,Summer
CB2.2 AP 3 85-07-10,10/7/1985,chesa,-76.175,39.347,25.26,3.431428535,7,Summer
CB2.2 AP 1 85-07-24,24/7/1985,chesa,-76.175,39.347,26.7,4.002499998,7,Summer
CB2.2 AP 3 85-07-24,24/7/1985,chesa,-76.175,39.347,26.7,4.002499998,7,Summer
CB2.2 AP 5 85-08-08,8/8/1985,chesa,-76.175,39.347,25.75,3.409999967,8,Summer
CB2.2 AP 5 85-08-21,21/8/1985,chesa,-76.175,39.347,26.11,5.106666618,8,Summer
CB2.2 AP 5 85-09-11,11/9/1985,chesa,-76.175,39.347,25.97,7.002857208,9,Autumn
CB2.2 AP 5 85-09-25,25/9/1985,chesa,-76.175,39.347,21.77,8.524999936,9,Autumn
CB2.2 AP 5 85-10-09,9/10/1985,chesa,-76.175,39.347,18.84,6.339000082,10,Autumn
CB2.2 AP 5 85-11-14,14/11/1985,chesa,-76.175,39.347,13.55,6.067499876,11,Autumn
CB2.2 AP 5 85-12-11,11/12/1985,chesa,-76.175,39.347,5.53,2.378571425,12,Winter
CB2.2 AP 5 86-01-08,8/1/1986,chesa,-76.175,39.347,0.03,0.5625,1,Winter
CB2.2 AP 5 86-03-12,12/3/1986,chesa,-76.175,39.347,3.82,0,3,Spring
CB2.2 AP 5 86-04-09,9/4/1986,chesa,-76.175,39.347,12.07,1.287777775,4,Spring
CB2.2 AP 5 86-04-23,23/4/1986,chesa,-76.175,39.347,10.4,0,4,Spring
CB2.2 AP 5 86-05-14,14/5/1986,chesa,-76.175,39.347,17.07,2.208333333,5,Spring
CB2.2 AP 5 86-05-28,28/5/1986,chesa,-76.175,39.347,22.08,0.029999999,5,Spring
CB2.2 AP 5 86-06-11,11/6/1986,chesa,-76.175,39.347,24.2,0,6,Summer
CB2.2 AP 5 86-06-25,25/6/1986,chesa,-76.175,39.347,23.82,0.0225,6,Summer
CB2.2 AP 5 86-07-17,17/7/1986,chesa,-76.175,39.347,25.42,3.401666641,7,Summer
CB2.2 AP 5 86-07-30,30/7/1986,chesa,-76.175,39.347,27.45,2.305000007,7,Summer
CB2.2 AP 5 86-08-13,13/8/1986,chesa,-76.175,39.347,25.86,1.385714293,8,Summer
CB2.2 AP 5 86-08-27,27/8/1986,chesa,-76.175,39.347,24,4.417500019,8,Summer
CB2.2 AP 5 86-09-10,10/9/1986,chesa,-76.175,39.347,22.03,4.6116666,9,Autumn
CB2.2 AP 5 86-09-24,24/9/1986,chesa,-76.175,39.347,21.3,5.087499976,9,Autumn
CB2.2 AP 5 86-10-06,6/10/1986,chesa,-76.175,39.347,21.7,4.654999971,10,Autumn
CB2.2 AP 5 86-11-19,19/11/1986,chesa,-76.175,39.347,8.9,3.408333262,11,Autumn
CB2.2 AP 5 86-12-10,10/12/1986,chesa,-76.175,39.347,5.53,1.307499998,12,Winter
CB2.2 AP 5 87-01-07,7/1/1987,chesa,-76.175,39.347,3.16,3.975555513,1,Winter
CB2.2 AP 5 87-03-16,16/3/1987,chesa,-76.175,39.347,4.38,7.494000149,3,Spring
CB2.2 AP 5 87-04-08,8/4/1987,chesa,-76.175,39.347,7.6,0,4,Spring
CB2.2 AP 5 87-04-22,22/4/1987,chesa,-76.175,39.347,13.13,0.403333326,4,Spring
CB2.2 AP 5 87-05-05,5/5/1987,chesa,-76.175,39.347,13.73,0.757499993,5,Spring
CB2.2 AP 5 87-05-20,20/5/1987,chesa,-76.175,39.347,17.84,1.917142885,5,Spring
CB2.2 AP 5 87-06-03,3/6/1987,chesa,-76.175,39.347,23.05,1.432499975,6,Summer
CB2.2 AP 5 87-06-17,17/6/1987,chesa,-76.175,39.347,24.15,1.137500018,6,Summer
CB2.2 AP 5 87-07-08,8/7/1987,chesa,-76.175,39.347,25.92,3.720000108,7,Summer
CB2.2 AP 5 87-07-22,22/7/1987,chesa,-76.175,39.347,27.53,3.040000041,7,Summer
CB2.2 AP 5 87-08-05,5/8/1987,chesa,-76.175,39.347,28.32,4.105000019,8,Summer
CB2.2 AP 5 87-08-19,19/8/1987,chesa,-76.175,39.347,27.2,5.74666659,8,Summer
CB2.2 AP 5 87-09-03,3/9/1987,chesa,-76.175,39.347,22.97,6.656666597,9,Autumn
CB2.2 AP 5 87-09-16,16/9/1987,chesa,-76.175,39.347,23.99,2.957500041,9,Autumn
CB2.2 AP 5 87-10-07,7/10/1987,chesa,-76.175,39.347,16.53,2.759999991,10,Autumn
