name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
MANLY Alexandra,Female,Australia,Australia,['Cycling Track'],"[""Women's Madison"", ""Women's Omnium"", ""Women's Team Pursuit""]",28,No,No,0
NUNEZ del PRADO Esteban,Male,Bolivia,Bolivia,['Swimming'],"[""Men's 200m Individual Medley""]",20,No,No,0
YOSHIDA Kento,Male,Japan,Japan,['Fencing'],"[""Men's Sabre Individual""]",32,No,No,0
ARMIT Josh,Male,New Zealand,New Zealand,['Sailing'],"[""Men's Windsurfing""]",23,Yes,No,0
DEMPFLE-OLIN Sanoa,Female,Canada,Canada,['Surfing'],['Women'],19,Yes,No,0
LEE Yunseo,Female,Republic of Korea,Republic of Korea,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",21,Yes,No,0
BALEISYTE Olivija,Female,Lithuania,Lithuania,['Cycling Track'],"[""Women's Omnium""]",26,Yes,No,0
CORBEAU Caspar,Male,Netherlands,Netherlands,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",23,Yes,Yes,1
KAIVO-OJA Pihla,Female,Finland,Finland,['Boxing'],"[""Women's 50kg""]",22,Yes,No,0
BERTA Martina,Female,Italy,Italy,['Cycling Mountain Bike'],"[""Women's Cross-country""]",26,Yes,No,0
CATAN Juan,Male,Argentina,Argentina,['Hockey'],['Men'],29,Yes,No,0
ADAMS Liam,Male,Australia,Australia,['Athletics'],"[""Men's Marathon""]",38,Yes,No,0
PRENTICE Tara,Female,United States of America,United States of America,['Water Polo'],['Women'],27,Yes,No,0
BUGEJA Emily,Female,Canada,Canada,['Sailing'],"[""Women's Kite""]",25,Yes,No,0
MI Jiujiang,Male,People's Republic of China,People's Republic of China,['Cycling Mountain Bike'],"[""Men's Cross-country""]",32,Yes,No,0
LI Yuan,Female,People's Republic of China,People's Republic of China,['Basketball'],['Women'],24,Yes,No,0
TKACHUK Viktoriya,Female,Ukraine,Ukraine,['Athletics'],"[""Women's 400m Hurdles""]",30,Yes,No,0
van ZYL Irvette,Female,South Africa,South Africa,['Athletics'],"[""Women's Marathon""]",37,No,No,0
SANTOS LISBOA Eduarda,Female,Brazil,Brazil,['Beach Volleyball'],['Women'],26,No,Yes,1
NAESS Helene,Female,Norway,Norway,['Sailing'],"[""Women's Skiff""]",33,Yes,No,0
GUMBS Ieva,Female,Lithuania,Lithuania,['Athletics'],"[""Women's Discus Throw""]",30,Yes,No,0
CLAVELL Gian,Male,Puerto Rico,United States of America,['Basketball'],['Men'],31,Yes,No,0
TRAORE Boubacar,Male,Mali,Mali,['Football'],['Men'],23,Yes,No,0
PAULIS Bente,Female,Netherlands,Netherlands,['Rowing'],"[""Women's Quadruple Sculls""]",27,Yes,Yes,1
RANTES Marin,Male,Croatia,Croatia,['Cycling BMX Freestyle'],"[""Men's Park""]",29,No,No,0
OFILI Favour,Female,Nigeria,Nigeria,['Athletics'],"[""Women's 200m"", ""Women's 4 x 100m Relay""]",22,Yes,No,0
GABRIYESOS Tachlowini,Male,Refugee Olympic Team,Eritrea,['Athletics'],"[""Men's Marathon""]",26,Yes,No,0
PORTELA Teresa,Female,Spain,Spain,['Canoe Sprint'],"[""Women's Kayak Four 500m""]",42,No,No,0
JANC Blaz,Male,Slovenia,Slovenia,['Handball'],['Men'],28,Yes,No,0
BROWN Max,Male,New Zealand,New Zealand,['Canoe Sprint'],"[""Men's Canoe Double 500m"", ""Men's Kayak Four 500m""]",29,Yes,No,0
MOHAMAD LATIF Nur Shazrin,Female,Malaysia,Malaysia,['Sailing'],"[""Women's Dinghy""]",26,Yes,No,0
PRUEFER Clemens,Male,Germany,Germany,['Athletics'],"[""Men's Discus Throw""]",27,Yes,No,0
GERASSIMENKO Kirill,Male,Kazakhstan,Kazakhstan,['Table Tennis'],"[""Men's Singles""]",28,No,No,0
MEYER Leonie,Female,Germany,Germany,['Sailing'],"[""Women's Kite""]",31,Yes,No,0
STEINFORTH Till,Male,Germany,Germany,['Athletics'],"[""Men's Decathlon""]",22,No,No,0
LIU Huanhua,Male,People's Republic of China,People's Republic of China,['Weightlifting'],"[""Men's 102kg""]",23,Yes,Yes,1
TIEN Chia Chen,Female,Chinese Taipei,Chinese Taipei,['Shooting'],['25m Pistol Women'],41,Yes,No,0
GRGIC Marko,Male,Germany,Germany,['Handball'],['Men'],21,Yes,Yes,1
GLAZUNOW Wiktor,Male,Poland,Poland,['Canoe Sprint'],"[""Men's Canoe Single 1000m""]",31,Yes,No,0
O'CONNOR Kate,Female,Ireland,Ireland,['Athletics'],"[""Women's Heptathlon""]",24,Yes,No,0
KRUPSKYI Illia,Male,Ukraine,Ukraine,['Football'],['Men'],20,Yes,No,0
REHAK STEFECEKOVA Zuzana,Female,Slovakia,Slovakia,['Shooting'],['Trap Women'],40,Yes,No,0
van LOON Tijmen,Male,Netherlands,Netherlands,['Cycling Track'],"[""Men's Team Sprint""]",23,No,Yes,1
NASSEE Ariel,Female,Israel,Israel,['Artistic Swimming'],['Duet'],21,Yes,No,0
BRAVO Elizabeth,Female,Ecuador,Ecuador,['Triathlon'],"[""Women's Individual""]",37,No,No,0
SIMIYU Loice Masitsa,Female,Kenya,Kenya,['Volleyball'],['Women'],23,Yes,No,0
TERVO Krista,Female,Finland,Finland,['Athletics'],"[""Women's Hammer Throw""]",27,Yes,No,0
FENG Yan Zhe,Male,People's Republic of China,People's Republic of China,['Badminton'],['Mixed Doubles'],23,Yes,No,0
PEATY Adam,Male,Great Britain,Great Britain,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay""]",30,Yes,Yes,1
BOSETTI Caterina Chiara,Female,Italy,Italy,['Volleyball'],['Women'],30,Yes,Yes,1
LOUZADA Didi,Male,Brazil,Brazil,['Basketball'],['Men'],25,Yes,No,0
NATHANIEL Ezekiel,Male,Nigeria,Nigeria,['Athletics'],"[""Men's 400m Hurdles"", ""Men's 4 x 400m Relay""]",21,Yes,No,0
SAMPSON Dane,Male,Australia,Australia,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",38,Yes,No,0
CALNAN William,Male,Great Britain,Great Britain,['Hockey'],['Men'],28,Yes,No,0
VICENTIN Luciano,Male,Argentina,Argentina,['Volleyball'],['Men'],24,Yes,No,0
de VALDES ALVAREZ Maria,Female,Spain,Spain,['Marathon Swimming'],"[""Women's 10km""]",26,Yes,No,0
EL BARODI Imane Houda,Female,Morocco,Morocco,['Swimming'],"[""Women's 100m Breaststroke""]",23,No,No,0
SERRAT SEOANE Antonio,Male,Spain,Spain,['Triathlon'],"[""Men's Individual""]",29,Yes,No,0
HEREDIA Laura,Female,Spain,Spain,['Modern Pentathlon'],"[""Women's Individual""]",24,No,No,0
MACLEANS Chinonyerem,Female,Nigeria,Nigeria,['Football'],['Women'],25,Yes,No,0
BODO Richard,Male,Hungary,Hungary,['Handball'],['Men'],31,Yes,No,0
MAPASA Setyana,Female,Australia,Australia,['Badminton'],"[""Women's Doubles""]",29,Yes,No,0
BRANDL Lorena,Female,Germany,Germany,['Taekwondo'],['Women +67kg'],27,Yes,No,0
SLETTUM Elisabeth,Female,Norway,Norway,['Athletics'],"[""Women's 4 x 400m Relay""]",38,No,No,0
SETEFANO Theresa,Female,New Zealand,New Zealand,['Rugby Sevens'],['Women'],29,Yes,Yes,1
OWIS Esraa,Female,Egypt,Egypt,['Athletics'],"[""Women's Long Jump""]",27,Yes,No,0
RADIVILOV Igor,Male,Ukraine,Ukraine,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",32,Yes,No,0
SPOORS Lucy,Female,New Zealand,New Zealand,['Rowing'],"[""Women's Double Sculls""]",34,Yes,Yes,1
BUSCH Kim,Female,Netherlands,Netherlands,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", ""Women's 50m Freestyle""]",26,Yes,No,0
TORTU Filippo,Male,Italy,Italy,['Athletics'],"[""Men's 200m"", ""Men's 4 x 100m Relay""]",26,Yes,No,0
BARBOSA Jade,Female,Brazil,Brazil,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",33,Yes,Yes,1
DELACRUZ Jourdan,Female,United States of America,United States of America,['Weightlifting'],"[""Women's 49kg""]",26,Yes,No,0
WALLER Jack,Male,Great Britain,Great Britain,['Hockey'],['Men'],27,Yes,No,0
SAFRONOVA Olga,Female,Kazakhstan,Kazakhstan,['Athletics'],"[""Women's 200m""]",33,Yes,No,0
KIM Mi Rae,Female,Democratic People's Republic of Korea,Democratic People's Republic of Korea,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",23,No,Yes,2
HORNE Keenan,Male,South Africa,South Africa,['Hockey'],['Men'],32,Yes,No,0
SHRESTHA Santoo,Male,Nepal,Nepal,['Table Tennis'],"[""Men's Singles""]",24,No,No,0
PANWAR Balraj,Male,India,India,['Rowing'],"[""Men's Single Sculls""]",25,Yes,No,0
HAWLEY Erica,Female,Bermuda,Great Britain,['Triathlon'],"[""Women's Individual""]",26,Yes,No,0
ALI Fathimath,Female,Maldives,Maldives,['Table Tennis'],"[""Women's Singles""]",17,No,No,0
NAKAJIMA Keita,Male,Japan,Japan,['Golf'],"[""Men's Individual Stroke Play""]",24,No,No,0
KRYZS Lucas Bernard Denis,Male,France,France,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",23,Yes,No,0
ENSING Kyle,Male,United States of America,United States of America,['Volleyball'],['Men'],27,Yes,Yes,1
FARINANGO BERRU David Andres,Male,Ecuador,Ecuador,['Marathon Swimming'],"[""Men's 10km""]",24,Yes,No,0
YULDOSHEV Murodjon,Male,Uzbekistan,Uzbekistan,['Judo'],"['Men -73 kg', 'Mixed Team']",29,Yes,No,0
PACHECO Jon,Male,Spain,Spain,['Football'],['Men'],23,Yes,Yes,1
CLEVERING Ymkje,Female,Netherlands,Netherlands,['Rowing'],"[""Women's Pair""]",29,Yes,Yes,1
MUNTEAN Andrei-Vasile,Male,Romania,Romania,['Artistic Gymnastics'],"['Men', ""Men's Parallel Bars""]",31,Yes,No,0
YETGIL Zeyne,Female,TÃ¼rkiye,TÃ¼rkiye,['Wrestling'],"[""Women's Freestyle 53kg""]",24,No,No,0
TARHAN Sevval Ilayda,Female,TÃ¼rkiye,TÃ¼rkiye,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",24,Yes,Yes,1
LI Yvonne,Female,Germany,Germany,['Badminton'],"[""Women's Singles""]",26,No,No,0
LIU Hao,Male,People's Republic of China,People's Republic of China,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",31,No,Yes,1
RESTES Guillaume,Male,France,France,['Football'],['Men'],19,Yes,Yes,1
BOHM Csaba,Male,Hungary,Hungary,['Modern Pentathlon'],"[""Men's Individual""]",24,Yes,No,0
LIU Yaxin,Female,People's Republic of China,People's Republic of China,['Swimming'],"[""Women's 400m Freestyle"", ""Women's 4 x 200m Freestyle Relay""]",25,No,Yes,1
HEE Yong Kai Terry,Male,Singapore,Singapore,['Badminton'],['Mixed Doubles'],29,No,No,0
SADULLAYEVA Safina,Female,Uzbekistan,Uzbekistan,['Athletics'],"[""Women's High Jump""]",26,No,No,0
SUN Jiajun,Male,People's Republic of China,People's Republic of China,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay""]",24,Yes,Yes,1
BARYARD-JOHNSSON Malin,Female,Sweden,Sweden,['Equestrian'],['Jumping Team'],49,No,No,0
PARKES Rebecca,Female,Hungary,Hungary,['Water Polo'],['Women'],30,Yes,No,0
MAGBEGOR Ezi,Female,Australia,Australia,['Basketball'],['Women'],25,Yes,Yes,1
HILL Roscoe,Male,United States of America,United States of America,['Boxing'],"[""Men's 51kg""]",30,Yes,No,0
MATHEWS Kurtis,Male,Australia,Australia,['Diving'],"[""Men's 3m Springboard""]",25,Yes,No,0
TOMMY Priscilla,Female,Vanuatu,Vanuatu,['Table Tennis'],"[""Women's Singles""]",35,No,No,0
VALIENTE AMARILLA Michelle Sharon,Female,Paraguay,Paraguay,['Beach Volleyball'],['Women'],26,No,No,0
VAN RIEL Marten,Male,Belgium,Belgium,['Triathlon'],"[""Men's Individual""]",32,Yes,No,0
DIZ Fernando,Male,Uruguay,Uruguay,['Sailing'],"[""Men's Skiff""]",25,Yes,No,0
KUO Hsing-Chun,Female,Chinese Taipei,Chinese Taipei,['Weightlifting'],"[""Women's 59kg""]",31,Yes,Yes,1
AIT BEKKA Jugurtha,Male,Algeria,Algeria,['Boxing'],"[""Men's 63.5kg""]",28,Yes,No,0
PILKINGTON Greta,Female,New Zealand,New Zealand,['Sailing'],"[""Women's Dinghy""]",21,Yes,No,0
EZZALZOULI Abde,Male,Morocco,Morocco,['Football'],['Men'],23,Yes,Yes,1
SUNG Rachel,Female,United States of America,United States of America,['Table Tennis'],"[""Women's Team""]",20,Yes,No,0
ZERBA Nicolas,Male,Argentina,Argentina,['Volleyball'],['Men'],25,Yes,No,0
LOPES Isadora,Female,Brazil,Brazil,['Rugby Sevens'],['Women'],27,No,No,0
RICHARDSON Melvyn,Male,France,France,['Handball'],['Men'],27,Yes,No,0
TAKADA Maki,Female,Japan,Japan,['Basketball'],['Women'],35,Yes,No,0
HEALEY Penny,Female,Great Britain,Great Britain,['Archery'],"[""Women's Individual"", ""Women's Team""]",19,Yes,No,0
KORA Salome,Female,Switzerland,Switzerland,['Athletics'],"[""Women's 100m"", ""Women's 4 x 100m Relay""]",30,Yes,No,0
STAVNAR Madelene,Female,Norway,Norway,['Golf'],"[""Women's Individual Stroke Play""]",24,No,No,0
COLLIER Dylan,Male,New Zealand,New Zealand,['Rugby Sevens'],['Men'],33,Yes,No,0
GARCIA POLO Marina,Female,Spain,Spain,['Artistic Swimming'],['Team'],20,Yes,Yes,1
SCHMIDT Julian,Male,Germany,Germany,['Cycling BMX Racing'],['Men'],30,No,No,0
ZHANG Nicholas,Male,Canada,Canada,['Fencing'],"[""Men's Ã‰pÃ©e Individual""]",18,Yes,No,0
GEYORO Grace,Female,France,France,['Football'],['Women'],27,Yes,No,0
SAUTURAGA Filipe,Male,Fiji,Fiji,['Rugby Sevens'],['Men'],30,No,Yes,1
WANG Xueer,Female,People's Republic of China,People's Republic of China,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 4 x 100m Medley Relay""]",26,No,Yes,1
WIGGINS Nicole,Female,Spain,Spain,['Handball'],['Women'],24,Yes,No,0
LARSEN Niklas,Male,Denmark,Denmark,['Cycling Track'],"[""Men's Madison"", ""Men's Omnium"", ""Men's Team Pursuit""]",27,No,Yes,1
GOLOVINA Luba,Female,Georgia,Georgia,['Trampoline Gymnastics'],['Women'],34,Yes,No,0
dos SANTOS Barbara Maria,Female,Brazil,Brazil,['Boxing'],"[""Women's 66kg""]",34,No,No,0
TOFT Sandra,Female,Denmark,Denmark,['Handball'],['Women'],35,Yes,Yes,1
PAL Raj Kumar,Male,India,India,['Hockey'],['Men'],26,Yes,Yes,1
ALAPHILIPPE Souleyman,Male,France,France,['Taekwondo'],['Men -68kg'],21,No,No,0
LIMA Matheus,Male,Brazil,Brazil,['Athletics'],"[""Men's 400m Hurdles"", ""Men's 4 x 400m Relay""]",21,Yes,No,0
STENSON Jessica,Female,Australia,Australia,['Athletics'],"[""Women's Marathon""]",37,Yes,No,0
INGVALDSEN Havard Bentdal,Male,Norway,Norway,['Athletics'],"[""Men's 400m""]",22,Yes,No,0
MONTAG Jemima,Female,Australia,Australia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",26,Yes,Yes,2
BHAKER Manu,Female,India,India,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",22,Yes,Yes,2
ARNAUT Razvan,Male,Romania,Romania,['Wrestling'],"[""Men's Greco-Roman 60kg""]",26,No,No,0
CAMBI Carlotta,Female,Italy,Italy,['Volleyball'],['Women'],28,Yes,Yes,1
de PLANTA Arno,Male,Switzerland,Switzerland,['Sailing'],"[""Men's Skiff""]",25,Yes,No,0
ORTIZ Idalys,Female,Cuba,Cuba,['Judo'],['Women +78 kg'],35,Yes,No,0
BENOOT Tiesj,Male,Belgium,Belgium,['Cycling Road'],"[""Men's Road Race""]",30,No,No,0
du TOIT Dominique,Female,Australia,Australia,['Rugby Sevens'],['Women'],27,Yes,No,0
VERSTRAELEN Eline,Female,Belgium,Belgium,['Sailing'],['Mixed Multihull'],22,No,No,0
HLAVAN Ihor,Male,Ukraine,Ukraine,['Athletics'],"[""Men's 20km Race Walk""]",34,No,No,0
BATTY Brock,Male,Australia,Australia,['Trampoline Gymnastics'],['Men'],17,Yes,No,0
CAMPBELL Bronte,Female,Australia,Australia,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",30,Yes,Yes,1
DAVTYAN Vahagn,Male,Armenia,Armenia,['Artistic Gymnastics'],"['Men', ""Men's Rings""]",36,Yes,No,0
TEACHOUT Kristina,Female,United States of America,United States of America,['Taekwondo'],['Women -67kg'],19,No,Yes,1
VEGA Jerome,Male,Puerto Rico,United States of America,['Athletics'],"[""Men's Hammer Throw""]",29,No,No,0
DJEKOUNDADE Myriam,Female,France,France,['3x3 Basketball'],['Women'],26,Yes,No,0
KIM Yeonghyeon,Male,Republic of Korea,Republic of Korea,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",20,No,No,0
WOG Kelsey,Female,Canada,Canada,['Swimming'],"[""Women's 200m Breaststroke""]",26,Yes,No,0
FONSECA Jorge,Male,Portugal,Portugal,['Judo'],['Men -100 kg'],32,Yes,No,0
RUDYK Mateusz,Male,Poland,Poland,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint""]",29,Yes,No,0
De GRASSE Andre,Male,Canada,Canada,['Athletics'],"[""Men's 100m"", ""Men's 200m"", ""Men's 4 x 100m Relay""]",30,Yes,Yes,1
ECHEVERRIA Maitane,Female,Spain,Spain,['Handball'],['Women'],27,Yes,No,0
MANAUDOU Florent,Male,France,France,['Swimming'],"[""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle""]",34,Yes,Yes,2
TAPIA VIDAL Rosa Maria,Female,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",27,Yes,No,0
BUTTI Cedric,Male,Switzerland,Switzerland,['Cycling BMX Racing'],['Men'],25,Yes,No,0
ALBERS Felice,Female,Netherlands,Netherlands,['Hockey'],['Women'],25,Yes,Yes,1
SCHAETZLE Kai,Male,Switzerland,Switzerland,['Rowing'],"[""Men's Four""]",24,Yes,No,0
NDIAYE Binta,Female,Switzerland,Switzerland,['Judo'],['Women -52 kg'],20,Yes,No,0
FERLIN Klemen,Male,Slovenia,Slovenia,['Handball'],['Men'],35,Yes,No,0
PIHELA Elisabeth,Female,Estonia,Estonia,['Athletics'],"[""Women's High Jump""]",20,Yes,No,0
BENCHADLI Nihed,Female,Algeria,Algeria,['Rowing'],"[""Women's Single Sculls""]",23,No,No,0
CANTER Rosalind,Female,Great Britain,Great Britain,['Equestrian'],"['Eventing Individual', 'Eventing Team']",38,Yes,Yes,1
REITSHAMMER Bernhard,Male,Austria,Austria,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay""]",30,No,No,0
GILLET Jade,Female,France,France,['Diving'],"[""Women's Synchronised 10m Platform""]",23,No,No,0
BALDWIN Heath,Male,United States of America,United States of America,['Athletics'],"[""Men's Decathlon""]",23,Yes,No,0
YANG Wenlu,Female,People's Republic of China,People's Republic of China,['Boxing'],"[""Women's 60kg""]",33,Yes,Yes,1
del TORO CARVAJAL Maylin,Female,Cuba,Cuba,['Judo'],['Women -63 kg'],30,Yes,No,0
HAFFARI Driss,Male,Morocco,Morocco,['Shooting'],['Trap Men'],29,No,No,0
DIEHM Natalya,Female,Australia,Australia,['Cycling BMX Freestyle'],"[""Women's Park""]",27,No,Yes,1
GODEL Robin,Male,Switzerland,Switzerland,['Equestrian'],"['Eventing Individual', 'Eventing Team']",26,Yes,No,0
GILLE Sander,Male,Belgium,Belgium,['Tennis'],"[""Men's Doubles""]",33,No,No,0
LI Yingying,Female,People's Republic of China,People's Republic of China,['Volleyball'],['Women'],24,Yes,No,0
WILLIAMSON Daniel,Male,New Zealand,New Zealand,['Rowing'],"[""Men's Pair""]",24,Yes,No,0
FEJES Daniel,Male,Hungary,Hungary,['Canoe Sprint'],"[""Men's Canoe Single 1000m""]",25,Yes,No,0
HEROUI Salim,Male,Algeria,Algeria,['Fencing'],"[""Men's Foil Individual""]",25,No,No,0
VOGG Felix,Male,Switzerland,Switzerland,['Equestrian'],"['Eventing Individual', 'Eventing Team']",34,Yes,No,0
KOBLIASHVILI Roberti,Male,Georgia,Georgia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",31,No,No,0
BOLANOS LOPEZ Victor,Male,Colombia,Colombia,['Sailing'],"[""Men's Kite""]",30,Yes,No,0
LIENDO Josh,Male,Canada,Canada,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",22,Yes,Yes,1
de VEER Martijn,Male,Netherlands,Netherlands,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",22,Yes,No,0
SID AZARA Bachir,Male,Algeria,Algeria,['Wrestling'],"[""Men's Greco-Roman 87kg""]",28,No,No,0
KING Lilly,Female,United States of America,United States of America,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",27,Yes,Yes,1
MACHADO Juliana,Female,Angola,Angola,['Handball'],['Women'],30,Yes,No,0
GOBERT Rudy,Male,France,France,['Basketball'],['Men'],32,Yes,Yes,1
NI Xia Lian,Female,Luxembourg,Luxembourg,['Table Tennis'],"[""Women's Singles""]",61,No,No,0
BUCK-GRAMCKO Tobias,Male,Germany,Germany,['Cycling Track'],"[""Men's Team Pursuit""]",23,No,No,0
GOLLSHEWSKY Taryn,Female,Australia,Australia,['Athletics'],"[""Women's Discus Throw""]",31,Yes,No,0
SECK Combe,Female,Senegal,Senegal,['Canoe Sprint'],"[""Women's Canoe Single 200m""]",29,No,No,0
CLANCY Grant,Male,New Zealand,New Zealand,['Canoe Sprint'],"[""Men's Canoe Double 500m"", ""Men's Kayak Four 500m""]",23,No,No,0
CARRAGGI Julien,Male,Belgium,Belgium,['Badminton'],"[""Men's Singles""]",24,Yes,No,0
KIPKEMBOI Margaret Chelimo,Female,Kenya,Kenya,['Athletics'],"[""Women's 10,000m"", ""Women's 5000m""]",31,Yes,No,0
COX Shannon,Female,New Zealand,New Zealand,['Rowing'],"[""Lightweight Women's Double Sculls""]",26,Yes,No,0
KACZMAREK Lukasz,Male,Poland,Poland,['Volleyball'],['Men'],30,Yes,Yes,1
SOBCHUK Olena,Female,Ukraine,Ukraine,['Athletics'],"[""Women's 20km Race Walk""]",29,Yes,No,0
